Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
ROCK CANYON RESPIRATORY AND REHABILITATION CENTER,PUEBLO,CO,For-Profit,Large,151,1,1,Understaffed,3.05,0.56,2.66,52.6,47.4
"PEARL OF ROLLING MEADOWS,THE",ROLLING MEADOWS,IL,For-Profit,Large,155,3,3,Understaffed,3.41,0.83,2.89,41.1,39.1
VICTORIAN POST ACUTE,SAN FRANCISCO,CA,For-Profit,Medium,90,5,3,Adequate,3.86,0.58,3.69,40,18.2
LIFE CARE CENTER OF RICHLAND,RICHLAND,WA,For-Profit,Medium,104,2,2,Adequate,3.91,0.59,2.95,58.3,58.3
"HAVEN MANOR HEALTH CARE CENTER, L L C",FAR ROCKAWAY,NY,For-Profit,Large,240,1,2,Understaffed,1.53,0.29,1.26,27.5,18.2
Brookestone Village,Omaha,NE,Non-Profit,Medium,140,5,5,Adequate,4.83,0.88,4.26,36.4,34.4
WATERFORD PLACE HEALTH CAMPUS,KOKOMO,IN,Non-Profit,Medium,103,4,1,Adequate,4.04,0.62,3.52,45.3,53.8
"ST PAUL ELDER SERVICES, INC",KAUKAUNA,WI,Non-Profit,Medium,105,5,5,Adequate,4.69,1.01,4.4,39.4,13
ARBOR TRACE HEALTH & LIVING COMMUNITY,RICHMOND,IN,For-Profit,Medium,101,5,3,Understaffed,3.32,0.52,2.84,43.3,40
LITTLE SISTERS OF THE POOR,CHICAGO,IL,Non-Profit,Medium,76,5,5,Adequate,4.53,0.98,3.93,36.5,25
LIVEWELL CONNECTICUT,PLANTSVILLE,CT,Non-Profit,Medium,120,5,5,Adequate,4.94,1.09,4.57,33.3,30.8
PALM GARDEN OF CLEARWATER,CLEARWATER,FL,For-Profit,Large,165,2,3,Adequate,3.61,0.6,3.43,48.4,58.3
BARNES-JEWISH EXTENDED CARE,SAINT LOUIS,MO,Non-Profit,Medium,120,4,4,Adequate,5.86,1,4.92,54.9,50
FOREST CITY NURSING AND REHAB CENTER,FOREST CITY,PA,For-Profit,Medium,132,2,3,Understaffed,3.09,0.63,2.76,43.6,20
LIFE CARE CENTER OF HALTOM,FORT WORTH,TX,For-Profit,Medium,127,4,3,Adequate,3.72,0.59,3.26,49.2,54.5
MABANK NURSING CENTER,MABANK,TX,For-Profit,Medium,90,3,3,Understaffed,3.25,0.36,2.86,49.4,25
NAZARETH HOME CLIFTON,LOUISVILLE,KY,Non-Profit,Medium,113,5,4,Adequate,4.45,0.7,4.03,50.4,23.5
BALLARD NURSING CENTER,ADA,OK,For-Profit,Medium,73,2,3,Understaffed,3.2,0.38,2.81,55.1,60
NEW JERSEY VETERANS MEMORIAL HOME MENLO,EDISON,NJ,Government,Large,328,5,5,Adequate,5.6,0.98,5.24,17.3,20.6
BRINTON MANOR NURSING AND REHABILITATION CENTER,GLEN MILLS,PA,For-Profit,Medium,92,3,2,Understaffed,3.25,0.49,2.98,51.4,45.5
Elkader Care Center,Elkader,IA,For-Profit,Small,40,4,4,Adequate,3.52,0.99,3,46.9,20
Laurel Park Rehabilitation and Healthcare Center,Elizabeth City,NC,For-Profit,Medium,108,1,1,Understaffed,2.77,0.33,2.43,75.2,53.8
HERITAGE MANOR OF MANDEVILLE,MANDEVILLE,LA,For-Profit,Medium,145,2,2,Adequate,3.89,0.31,3.57,70.3,50
GUNDERSEN ST ELIZABETH'S CARE CENTER,WABASHA,MN,Non-Profit,Medium,100,5,5,Adequate,4.67,0.83,3.98,26.7,31.3
SHORES NURSING AND REHAB CENTER,PORT SAINT JOE,FL,For-Profit,Medium,120,1,3,Understaffed,3.35,0.61,3.22,52.7,50
RIDGEVIEW TERRACE OF LIFE CARE,RUTLEDGE,TN,For-Profit,Medium,132,4,4,Adequate,3.49,0.74,3.12,21,18.2
LUTHER CREST NURSING FACILITY,ALLENTOWN,PA,Non-Profit,Medium,60,5,4,Adequate,4.38,1.25,3.96,93.9,88.9
KINNIC HEALTH AND REHABILITATION CENTER,RIVER FALLS,WI,For-Profit,Medium,68,2,4,Adequate,3.72,1.04,3.17,40,30
"GROVE OF FOX VALLEY,THE",AURORA,IL,For-Profit,Large,158,4,3,Understaffed,3.23,0.86,3.04,31,14.3
COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,ANDERSON,IN,Government,Medium,109,4,2,Understaffed,3.39,0.54,2.9,45.6,46.7
Latta Road Nursing Home East,Rochester,NY,For-Profit,Small,40,2,2,Adequate,3.93,0.38,3.44,67.9,75
Evercare of Granite City,GRANITE CITY,IL,For-Profit,Medium,86,2,3,Understaffed,2.9,0.44,2.3,65.8,14.3
Elderwood at Hornell,Hornell,NY,For-Profit,Medium,122,5,2,Understaffed,2.77,0.53,2.38,57.5,42.1
MERCED BEHAVIORAL CENTER,MERCED,CA,For-Profit,Medium,96,5,5,Adequate,4.03,0.33,3.31,25.3,0
SENECA HEALTH CARE CENTER,WEST SENECA,NY,For-Profit,Large,160,4,2,Adequate,3.94,0.34,3.51,46,56.3
HICKORY CREEK AT ROCHESTER,ROCHESTER,IN,Non-Profit,Small,36,2,2,Adequate,4.06,1.04,3.25,58.3,66.7
Optalis Health and Rehabilitation of Dearborn Heig,Dearborn Heights,MI,For-Profit,Medium,124,3,3,Adequate,3.95,0.7,3.38,52.8,52.6
LIFE CARE CENTER OF STONEGATE,PARKER,CO,For-Profit,Medium,120,3,3,Adequate,4.43,1.18,3.96,58.8,59.3
"SANTA FE HEIGHTS HEALTHCARE CENTER, LLC",COMPTON,CA,For-Profit,Medium,99,1,3,Adequate,4.03,0.27,3.67,40,16.7
LA CASA VIA TRANSITIONAL CARE CENTER,WALNUT CREEK,CA,For-Profit,Medium,99,5,4,Adequate,3.88,0.86,3.72,37.6,31.6
RYZE ON THE AVENUE,CHICAGO,IL,For-Profit,Large,302,1,1,Understaffed,2.33,0.33,2.23,53,63.6
FAIR OAKS REHAB & HEALTHCARE,SOUTH BELOIT,IL,For-Profit,Medium,78,3,2,Understaffed,3.31,0.7,2.84,64.2,66.7
REGENTS PARK OF SUNRISE,SUNRISE,FL,For-Profit,Medium,120,3,4,Understaffed,3.46,0.51,3.25,14.8,20
"CAMDEN POSTACUTE CARE, INC",CAMPBELL,CA,For-Profit,Medium,60,3,2,Adequate,3.74,0.22,3.68,31.9,50
WACHUSETT MANOR,GARDNER,MA,For-Profit,Medium,96,2,1,Understaffed,3.42,0.42,3.04,46.9,46.2
NANS POINTE REHABILITATION AND NURSING,SUFFOLK,VA,For-Profit,Medium,148,2,1,Understaffed,3.34,0.31,2.91,58.3,80
WINDSOR PARK REHAB & NURSING CENTER,QUEENS VILLAGE,NY,For-Profit,Medium,70,2,5,Adequate,3.86,1,3.35,22.4,14.3
BONNE VIE,PORT ARTHUR,TX,For-Profit,Medium,140,5,3,Adequate,3.51,0.31,3.07,34.9,12.5
ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,MALVERN,AR,For-Profit,Medium,94,4,3,Adequate,3.73,0.43,3.1,46.8,20
GOOD SAMARITAN REHAB AND CARE CENTER,STOCKTON,CA,For-Profit,Medium,98,4,4,Adequate,4.32,0.47,3.82,27.7,9.1
BRIA OF WESTMONT,WESTMONT,IL,For-Profit,Large,215,1,1,Adequate,3.51,0.69,2.89,64.4,57.7
Lakepointe Senior Care and Rehabilitation Center,Clinton Township,MI,For-Profit,Medium,134,5,4,Adequate,3.61,0.45,3.08,36,27.3
CLYDE W COSPER TEXAS STATE VETERANS HOME,BONHAM,TX,For-Profit,Large,160,2,4,Adequate,4,0.56,3.27,46.9,60.9
NORTH HILLS LIFE CARE AND REHAB,FAYETTEVILLE,AR,For-Profit,Medium,92,4,3,Adequate,3.98,0.38,3.11,46.9,50
SKYVIEW SPRINGS REHAB AND NURSING CENTER,LURAY,VA,For-Profit,Medium,120,2,2,Understaffed,2.59,0.3,2.22,25.6,22.2
Steere House Nursing and Rehabilitation Center,Providence,RI,Non-Profit,Medium,120,4,5,Adequate,4.57,0.9,4.06,20.8,21.7
DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE,LANHAM,MD,For-Profit,Medium,130,2,2,Adequate,3.7,0.75,3.25,48.8,50
