Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
PARKVIEW CARE CENTER,WELLS,MN,Non-Profit,Small,30,4,5,Adequate,4.44,1.18,3.88,36.7,0
SANDSTONE HEIGHTS,LITTLE RIVER,KS,Non-Profit,Small,36,3,5,Adequate,4.63,1.08,4.19,52.5,33.3
CLEARWATER HEALTH & REHABILITATION OF CASCADIA,OROFINO,ID,For-Profit,Medium,60,5,3,Understaffed,3.15,0.79,2.53,44.4,18.2
RIVERDALE CENTER FOR NURSING AND HEALING,RIVERDALE,GA,For-Profit,Large,152,2,2,Understaffed,3.46,0.38,3.02,53.9,50
DESERT MOUNTAIN CARE CENTER,INDIO,CA,For-Profit,Medium,99,4,2,Adequate,5.35,0.58,4.94,43.2,52.4
Lake City Center for Nursing and Healing LLC,LAKE CITY,GA,For-Profit,Large,242,1,1,Understaffed,3.08,0.25,2.58,61,60
Cra-Mar Meadows,Cranston,RI,For-Profit,Small,41,4,4,Understaffed,3.41,0.91,3.14,29.4,36.4
WILLOWBROOKE COURT AT ST ANDREWS ESTATES,BOCA RATON,FL,Non-Profit,Medium,89,4,5,Adequate,4.22,1.22,3.83,21.6,43.8
PALM TERRACE CARE CENTER,RIVERSIDE,CA,For-Profit,Medium,71,4,2,Adequate,4.32,0.44,3.64,52.8,40
CYPRESS POINTE HEALTH & WELLNESS,HOUSTON,TX,For-Profit,Medium,124,5,1,Understaffed,3.19,0.53,2.97,61.3,68.2
CARMI MANOR REHAB & NRSG CTR,CARMI,IL,For-Profit,Medium,74,3,1,Adequate,3.62,0.47,3.08,38.8,37.5
Chelsea Retirement Community,Chelsea,MI,Non-Profit,Medium,85,5,4,Adequate,4.38,0.73,3.85,40.9,36.8
HOPE CENTER FOR H I V AND NURSING CARE,BRONX,NY,For-Profit,Medium,66,2,4,Understaffed,2.5,0.96,1.93,20,13.3
CLINTON GARDENS,CLINTON,IN,Government,Medium,100,4,3,Understaffed,3.14,0.57,2.69,36.5,18.2
LAS FLORES CONVALESCENT HOSPITAL,GARDENA,CA,For-Profit,Medium,144,1,3,Adequate,3.85,0.25,3.39,27,20
COVINGTON POST ACUTE,COVINGTON,TN,For-Profit,Medium,98,3,2,Understaffed,3.37,0.53,2.82,30.8,50
RIVERVIEW HEALTH & REHAB CTR,SAVANNAH,GA,Non-Profit,Large,284,1,1,Understaffed,3.02,0.21,2.47,53.2,50
THOMSON HEALTH AND REHABILITATION,THOMSON,GA,For-Profit,Large,150,3,2,Understaffed,3.19,0.28,2.69,47.7,20
Cypress Pointe Rehabilitation Center,Wilmington,NC,For-Profit,Medium,90,5,3,Adequate,3.54,0.76,3.34,50,50
Good Samaritan Society - Bethany,BRAINERD,MN,Non-Profit,Medium,79,5,5,Adequate,3.76,1.61,3.25,17.6,16.7
WESTMORELAND REHABILITATION & HEALTHCARE CENTER,COLONIAL BEACH,VA,For-Profit,Medium,66,2,1,Understaffed,3.21,0.48,2.77,40.3,37.5
CENTENNIAL POST ACUTE,ANCHORAGE,AK,For-Profit,Medium,102,1,4,Adequate,4.73,1.1,4.35,54.2,57.7
HARRISON HEALTHCARE CENTER,CORYDON,IN,Non-Profit,Medium,92,2,1,Understaffed,3.3,0.38,2.96,43,57.1
HERITAGE HOUSE NURSING CENTER,VICKSBURG,MS,For-Profit,Medium,60,4,5,Adequate,3.8,0.6,3.18,32.1,25
SURREY PLACE NURSING CENTER,LIVE OAK,FL,For-Profit,Medium,60,4,4,Adequate,3.88,0.82,3.4,37.7,25
St John's Health Sage Living,Jackson,WY,Government,Medium,60,5,5,Adequate,4.3,1.77,3.62,22.6,15.8
SWISS VILLAGE,BERNE,IN,Non-Profit,Medium,128,5,5,Adequate,4.98,1.04,4.23,32.5,11.1
AVALON CARE CENTER,NEW CASTLE,PA,For-Profit,Medium,84,2,3,Understaffed,3.38,0.65,3.13,54.1,68.2
ALLIANCE HEALTH AT MAPLES,WRENTHAM,MA,Non-Profit,Medium,144,3,4,Adequate,4.39,0.45,4,30.1,42.9
WHEATLAND NURSING & REHABILITATION CENTER,RUSSELL,KS,For-Profit,Small,45,5,4,Understaffed,3.42,0.46,2.82,30.3,20
AMELIA REHABILITATION AND HEALTHCARE CENTER,AMELIA,VA,For-Profit,Medium,100,1,1,Understaffed,2.97,0.25,2.58,69.1,54.5
CROWN REHAB AND HEALTHCARE CENTER,HARRISONVILLE,MO,For-Profit,Medium,118,2,1,Understaffed,3.27,0.42,2.97,47.8,57.1
Avir at Orem,HOUSTON,TX,For-Profit,Medium,120,4,3,Adequate,3.64,0.42,3.32,45.6,0
Clark Retirement Community,Grand Rapids,MI,Non-Profit,Small,39,1,1,Adequate,3.64,0.5,3.38,51.4,71.4
RIVERSIDE HEALTH AND REHABILITATION,THOMASTON,GA,Non-Profit,Medium,73,3,3,Understaffed,3.23,0.29,2.82,31.6,0
THE ORCHARD - POST ACUTE CARE,WHITTIER,CA,For-Profit,Large,162,3,3,Adequate,4.26,0.33,3.76,36.5,50
"OSWEGO OPERATOR, LLC",OSWEGO,KS,For-Profit,Small,40,3,4,Adequate,3.95,1.02,3.19,39.3,0
SEA VIEW HOSPITAL REHABILITATION CENTER AND HOME,STATEN ISLAND,NY,For-Profit,Large,304,5,5,Adequate,4.45,1.38,3.85,19.4,15
AUTUMN LAKE HEALTHCARE AT THE WILLOWS,WOODBRIDGE,CT,For-Profit,Medium,90,4,3,Adequate,3.59,0.72,3.25,26.9,30.8
ADVINIACARE AT PROVINCETOWN,PROVINCETOWN,MA,For-Profit,Small,41,2,3,Adequate,3.69,1.09,3.31,38.5,60
AVANTARA AURORA,AURORA,IL,For-Profit,Medium,87,4,3,Adequate,3.67,1.34,3.59,55.9,23.5
"CENTER AT PARK WEST LLC, THE",PUEBLO,CO,For-Profit,Medium,80,4,3,Adequate,4.26,1.27,3.8,64.9,57.9
AZURE SHORES REHAB,MIAMI,FL,For-Profit,Medium,120,2,3,Adequate,3.6,0.81,3.35,43,71.9
FOURAKER HILLS REHAB AND NURSING CENTER,JACKSONVILLE,FL,For-Profit,Medium,120,3,2,Understaffed,3.28,0.32,3.08,62.8,66.7
MISERICORDIA NURSING & REHABILITATION CENTER,YORK,PA,Non-Profit,Medium,50,5,4,Adequate,4.5,0.72,4.14,41.5,44.4
ALLISONVILLE MEADOWS,FISHERS,IN,Non-Profit,Large,161,3,2,Understaffed,3.43,0.64,2.9,50,47.1
TWILIGHT HOME,CORSICANA,TX,For-Profit,Medium,102,4,3,Understaffed,3.42,0.4,2.96,34.5,50
MARTINSBURG HEALTHCARE CENTER,MARTINSBURG,WV,For-Profit,Medium,120,4,2,Understaffed,3.46,0.67,3.02,44.2,50
SEVEN ACRES SENIOR LIVING AT CLIFTON,CINCINNATI,OH,For-Profit,Medium,58,4,2,Adequate,3.67,0.61,3.1,52.4,20
Lantern Park Specialty Care,Coralville,IA,Non-Profit,Medium,90,1,3,Adequate,3.6,0.69,3.35,61.6,81.3
GRACE LUTHERAN COMMUNITIES - RIVER PINES,ALTOONA,WI,Non-Profit,Medium,50,5,5,Adequate,4.66,1.18,4.09,53.1,41.2
GOLDWATER PONTIAC NURSING HOME,PONTIAC,IL,For-Profit,Medium,90,2,1,Understaffed,3.13,0.34,2.8,43.5,40
MCKINLEY NURSING,CANTON,OH,For-Profit,Large,176,2,2,Adequate,3.49,0.43,2.9,39.7,50
LAS VENTANAS RETIREMENT COMM SNF,LAS VEGAS,NV,Non-Profit,Medium,60,5,5,Adequate,5.04,1.6,4.65,27,32
FOUNTAIN SPRINGS AT CAPE MAY NURSING & REHAB CENTE,CAPE MAY COURT HOUSE,NJ,For-Profit,Medium,116,5,3,Adequate,3.51,0.38,3.03,36.5,41.7
ASBURY COURT NURSING & REHAB,DES PLAINES,IL,For-Profit,Medium,79,4,4,Adequate,4.49,1.02,3.74,41.3,34.8
ASPEN HILL REHABILIATION & HEALTHCARE CENTER,HAVERHILL,MA,For-Profit,Medium,146,2,1,Understaffed,3.42,0.56,2.98,50,60
Fairmont Skilled Nursing and Therapy,Oklahoma City,OK,For-Profit,Medium,125,2,4,Adequate,3.98,0.43,3.43,49.5,37.5
CALCUTTA HEALTH CARE CENTER,CALCUTTA,OH,For-Profit,Medium,107,4,4,Adequate,3.82,0.92,2.97,37.9,31.8
CHRISTIAN EXTENDED CARE & REHABILITATION,SAINT LOUIS,MO,Non-Profit,Medium,60,5,3,Adequate,4.47,0.58,4.09,52.3,66.7
ASPIRE SENIOR LIVING MOBERLY,MOBERLY,MO,For-Profit,Medium,101,1,1,Understaffed,3.07,0.21,2.75,67.6,85.7
RIVERSIDE CENTER FOR REHABILITATION AND NURSING,CASTLETON ON HUDSON,NY,For-Profit,Medium,80,2,4,Adequate,3.92,0.5,3.27,55.8,27.3
Orchard View Manor,East Providence,RI,For-Profit,Large,166,1,4,Understaffed,3.38,0.71,3.05,25.2,5.3
LINCOLN PARK MANOR INC,LINCOLN,KS,Non-Profit,Small,36,2,4,Adequate,4.18,0.56,4.13,37.8,50
"VISTA CENTER, THE",LISBON,OH,For-Profit,Medium,54,1,1,Understaffed,3.29,0.57,2.9,54,28.6
TRUMAN SENIOR LIVING,TRUMAN,MN,Non-Profit,Small,30,5,5,Adequate,4.8,1.16,4.53,43.3,16.7
"PRUITTHEALTH - CRESTWOOD, LLC",VALDOSTA,GA,For-Profit,Medium,79,4,4,Understaffed,3.43,0.86,2.91,33.8,7.1
THE ENCLAVE,SAN ANTONIO,TX,For-Profit,Medium,142,1,1,Understaffed,3.44,0.28,2.96,63.2,64.3
Avir at Burkburnett,BURKBURNETT,TX,For-Profit,Medium,60,2,1,Understaffed,3.31,0.32,3.04,66.7,66.7
THE BLOSSOMS AT HOT SPRINGS REHAB AND NURSING CENT,HOT SPRINGS,AR,For-Profit,Large,152,4,2,Understaffed,3.45,0.21,2.75,51.5,71.4
WINCHESTER TERRACE,MANSFIELD,OH,For-Profit,Medium,83,3,2,Understaffed,3.15,0.73,2.78,61.9,45.5
ST ROSE CARE CENTER,LAMOURE,ND,Non-Profit,Small,36,4,3,Understaffed,3.43,0.62,2.98,81.1,66.7
San Rafael Nursing and Rehabiliation,Corpus Chrisit,TX,Government,Large,168,1,2,Understaffed,2.79,0.15,2.35,41.3,20
JOSEPHINE CARING COMMUNITY,STANWOOD,WA,Non-Profit,Large,160,5,3,Adequate,4.45,0.81,3.62,23.9,38.1
Pettigrew Rehabilitation Center,Durham,NC,For-Profit,Medium,96,2,1,Adequate,3.48,0.54,3,72.2,87
MCCRITE PLAZA HEALTH CENTER,TOPEKA,KS,For-Profit,Medium,80,5,4,Adequate,5.12,0.82,4.74,50,27.3
THE BLOSSOMS AT PRESCOTT REHAB & NURSING CENTER,PRESCOTT,AR,For-Profit,Medium,111,5,3,Understaffed,3.28,0.35,2.85,50,40
NEWPORT MEADOWS HEALTH AND REHABILITATION CENTER,CHRISTIANA,PA,For-Profit,Medium,139,2,1,Understaffed,3.31,0.33,3.12,47.9,46.7
THE RIO AT MISSION TRAILS,SAN ANTONIO,TX,For-Profit,Medium,124,2,1,Understaffed,3.16,0.22,2.8,51.2,20
Bethany Life,Story City,IA,Non-Profit,Medium,126,1,4,Adequate,3.88,0.62,3.54,36.6,39.1
ROSE LANE NURSING AND REHABILITATION,MASSILLON,OH,For-Profit,Large,171,2,3,Understaffed,3.28,0.66,2.88,53.2,30
SPRING HARBOR AT GREEN ISLAND,COLUMBUS,GA,Non-Profit,Small,40,4,4,Adequate,5.89,0.84,5.55,72.7,50
Honorage Nursing Center,Florence,SC,For-Profit,Medium,88,5,2,Adequate,3.62,0.31,2.77,45.1,50
SAMARITAN CARE CENTER AND VILLA,MEDINA,OH,Non-Profit,Medium,56,3,2,Adequate,3.64,0.55,3.26,69.1,60
MEDICALODGES IOLA,IOLA,KS,For-Profit,Small,45,1,4,Adequate,4.3,0.85,3.39,57.7,91.7
SUNNY ACRES NURSING HOME,PETERSBURG,IL,For-Profit,Medium,99,1,2,Understaffed,3.47,0.59,3.26,55,61.5
ST FRANCOIS MANOR,FARMINGTON,MO,For-Profit,Medium,118,4,1,Understaffed,2.88,0.13,2.57,72.1,66.7
Elkton Nursing and Rehabilitation Center,Elkton,KY,For-Profit,Medium,60,1,1,Understaffed,3.35,0.36,2.92,61.7,71.4
MAJESTIC CARE OF SHERIDAN,SHERIDAN,IN,Government,Medium,80,5,2,Understaffed,3.11,0.45,2.73,32.8,42.9
GRAND THE,DUBLIN,OH,For-Profit,Medium,128,2,4,Adequate,4,0.73,3.67,40.8,44.4
SARASOTA POINT REHABILITATION CENTER,SARASOTA,FL,For-Profit,Medium,120,4,3,Adequate,3.55,0.67,3.31,50,58.3
REGALCARE AT TAUNTON,TAUNTON,MA,For-Profit,Medium,100,1,1,Adequate,3.53,0.43,3.16,49.3,77.8
PLEASANT MANOR HEALTHCARE REHABILITATION,WAXAHACHIE,TX,For-Profit,Medium,132,3,2,Adequate,3.7,0.4,3.13,50.7,66.7
WINDSORMEADE OF WILLIAMSBURG,WILLIAMSBURG,VA,Non-Profit,Small,22,5,5,Adequate,5.72,2.15,4.69,27.6,12.5
HOUSTON HOUSE,HOUSTON,MO,For-Profit,Medium,96,4,2,Adequate,3.75,0.34,3.26,50,28.6
Indian Hills Manor,Ogallala,NE,For-Profit,Medium,82,1,2,Understaffed,3.14,0.64,2.74,57.6,60
KANSAS CHRISTIAN HOME,NEWTON,KS,Non-Profit,Medium,54,4,4,Adequate,4.41,0.56,4.03,50.9,44.4
Villages of Lake Highlands,Dallas,TX,For-Profit,Medium,126,2,4,Adequate,4.39,0.52,3.79,43.3,47.1
LAKEVIEW VILLAGE,LENEXA,KS,Non-Profit,Large,158,3,5,Adequate,5.66,1.01,5.26,38.8,40
PRUITTHEALTH - FRANKLIN,FRANKLIN,GA,For-Profit,Medium,78,5,4,Adequate,3.73,0.37,3.05,31.6,20
Calvin Community,Des Moines,IA,Non-Profit,Medium,59,4,5,Adequate,4.8,0.97,3.92,31.8,0
REGENT PARK REHABILITATION AND HEALTHCARE,WICHITA,KS,For-Profit,Medium,84,5,4,Adequate,4.67,0.93,3.91,53.6,55.6
EAGLE HEALTH & REHABILITATION,STATESBORO,GA,Non-Profit,Medium,99,3,4,Adequate,3.8,0.49,3.38,48.9,60
SOUTH ROANOKE NURSING AND REHABILITATION,ROANOKE,VA,For-Profit,Medium,98,3,3,Understaffed,3.19,0.51,2.8,41.6,30.8
Optalis Health and Rehabilitation of Kingsford,Kingsford,MI,For-Profit,Medium,107,1,2,Understaffed,3.31,0.64,2.9,55.7,44.4
LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS,ENNIS,TX,Government,Medium,124,5,3,Understaffed,3.48,0.35,2.76,35.8,33.3
MERIDIAN CARE OF ALICE,ALICE,TX,For-Profit,Large,201,4,4,Understaffed,3.29,0.48,2.73,30.5,28.6
REGALCARE AT QUINCY,QUINCY,MA,For-Profit,Medium,71,2,2,Adequate,3.92,0.66,3.35,52.8,63.6
ROSEVILLE CARE CENTER,ROSEVILLE,CA,For-Profit,Large,210,3,3,Adequate,4.04,0.47,3.74,38.2,45.5
HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER,LOS ANGELES,CA,For-Profit,Medium,59,3,3,Adequate,4.28,0.32,3.74,22.8,40
Ira Davenport Memorial Hospital SNF/HRF,Bath,NY,Non-Profit,Medium,120,5,4,Adequate,4.37,0.49,3.68,45.9,63.6
Chandler Creek Post Acute,Greer,SC,For-Profit,Medium,133,3,3,Understaffed,3.26,0.51,2.69,37.3,50
BICKFORD HEALTH CARE CENTER,WINDSOR LOCKS,CT,Non-Profit,Small,48,1,4,Adequate,4.43,1.06,3.89,40.4,42.9
Cascades at Jacinto Rehab LP,Houston,TX,For-Profit,Medium,148,1,1,Understaffed,2.94,0.12,2.63,53,66.7
Saunders Medical Center,Wahoo,NE,Government,Medium,60,5,4,Adequate,4.72,0.46,4.31,37.5,28.6
THORNTON TERRACE HEALTH CAMPUS,HANOVER,IN,For-Profit,Medium,55,5,4,Adequate,4.21,1.05,3.9,36.4,25
OCOEE TRANSITIONAL CARE CENTER LLC,MARYVILLE,TN,Non-Profit,Medium,76,3,5,Adequate,5.81,1.46,5.02,45.6,27.3
MILLER'S MERRY MANOR,WALKERTON,IN,For-Profit,Medium,107,2,3,Adequate,4.03,0.75,3.49,31.9,37.5
"BLUFFS, THE",COLUMBIA,MO,Non-Profit,Medium,132,2,3,Adequate,4.16,0.36,3.73,63.1,63.2
COUNTRY CLUB CENTER I,DOVER,OH,For-Profit,Medium,72,2,2,Adequate,3.62,0.62,3.34,55.4,50
ESPECIALLY KIDZ HEALTH & REHAB,SHELBYVILLE,IN,Government,Medium,130,2,1,Adequate,4.44,0.43,3.93,40.1,53.8
ST FRANCIS HOME,BRECKENRIDGE,MN,Non-Profit,Medium,100,5,5,Adequate,4.28,1.3,3.74,37,38.5
GRACE SKILLED AND NURSING THERAPY NORMAN,NORMAN,OK,For-Profit,Medium,136,4,4,Adequate,3.61,0.44,3.29,46,38.5
RIVER RIDGE CENTER,KENNEBUNK,ME,For-Profit,Medium,62,1,3,Adequate,3.87,1.36,3.55,64.8,50
THE DOROTHY & JOSEPH GOLDBERG HEALTHCARE CENTER,ENCINITAS,CA,Non-Profit,Medium,58,5,5,Adequate,5.72,0.75,5.28,30.9,14.3
TENNESSEE VETERANS HOME,MURFREESBORO,TN,For-Profit,Medium,140,1,3,Adequate,4.53,0.52,3.62,74.5,66.7
PU'UWAI 'O MAKAHA,WAIANAE,HI,For-Profit,Medium,93,4,4,Adequate,4.11,1.1,3.57,26.8,25
Hayes Residence,SAINT PAUL,MN,For-Profit,Small,40,2,3,Understaffed,2.33,0.34,1.97,55.6,75
CAMP HILL SKILLED NURSING AND REHABILITATION CTR,CAMP HILL,PA,For-Profit,Medium,123,3,3,Adequate,3.59,0.6,3.31,40,28.6
Mission Point Nursing & Physical Rehabilitation Ce,Belding,MI,For-Profit,Medium,128,2,4,Understaffed,3.35,0.83,2.93,36.4,20
ST ELIZABETH HEALTHCARE CENTER,DELPHI,IN,Non-Profit,Medium,64,4,2,Understaffed,3.45,0.95,2.92,61,66.7
PALM GARDEN OF VERO BEACH,VERO BEACH,FL,For-Profit,Large,189,4,3,Adequate,3.78,0.59,3.44,54,58.6
WATERFORD CROSSING,GOSHEN,IN,For-Profit,Medium,87,5,5,Adequate,4.3,1.06,3.81,30,15.8
MIDDLEBURG HEIGHTS HEALTH & REHABILITATION CENTER,MIDDLEBURG HEIGHTS,OH,For-Profit,Medium,90,3,2,Adequate,3.9,0.67,2.97,64.8,58.3
Community Memorial Health Center,Burwell,NE,Non-Profit,Medium,64,2,3,Adequate,3.75,0.48,3.29,43,33.3
LONE STAR REHABILITATION & WELLNESS CENTER,STEPHENVILLE,TX,For-Profit,Medium,122,4,3,Understaffed,3.08,0.63,2.73,40.6,23.1
COMPLETE CARE AT CHESTNUT HILL LLC,PASSAIC,NJ,For-Profit,Medium,111,2,2,Understaffed,3.19,0.51,2.64,54.5,42.9
CHRISTIAN COMMUNITY HOME,HUDSON,WI,Non-Profit,Medium,50,5,5,Adequate,4.52,1.53,4.09,56,28.6
LINCOLN HILLS OF NEW ALBANY,NEW ALBANY,IN,Government,Large,156,3,3,Adequate,3.49,0.66,2.96,50.8,20
"PEARL OF JOLIET, THE",JOLIET,IL,For-Profit,Large,214,2,2,Understaffed,3.16,0.66,2.65,45.6,31.8
MASONIC VILLAGE AT LAFAYETTE HILL,LAFAYETTE HILL,PA,Non-Profit,Medium,60,4,5,Adequate,4.92,1.11,4.35,25,8.3
Atterdag Care Center,Solvang,CA,Non-Profit,Medium,50,5,4,Adequate,4.6,0.37,3.94,35,50
KERN RIVER TRANSITIONAL CARE,BAKERSFIELD,CA,For-Profit,Medium,140,1,2,Adequate,4.58,0.56,4.07,50,27.8
Columbus Oaks Healthcare Community,Columbus,TX,For-Profit,Medium,137,3,4,Adequate,3.54,0.74,2.98,50,44.4
RIVERSIDE HEALTH SERVICES,ARKOMA,OK,For-Profit,Medium,56,1,1,Adequate,6,0.33,5.06,67.3,100
Trinity Oaks,Salisbury,NC,Non-Profit,Medium,115,4,5,Adequate,4.76,0.77,4.13,29.5,10
AVANTARA ARROWHEAD,RAPID CITY,SD,For-Profit,Medium,65,1,2,Understaffed,3.27,0.74,2.85,61.9,53.3
SIGNATURE HEALTHCARE OF BREMEN,BREMEN,IN,Government,Medium,73,2,2,Understaffed,3.37,0.71,2.92,51.6,33.3
Fair Oaks Health and Rehabilitation,Jamestown,KY,For-Profit,Medium,114,4,2,Understaffed,3.26,0.49,2.88,33.3,46.2
WHITESTONE CARE CENTER,STROUDSBURG,PA,For-Profit,Medium,90,2,3,Adequate,3.52,0.81,3.21,46.6,70.6
Montrose Health Center,Montrose,IA,For-Profit,Small,44,4,5,Adequate,3.53,0.84,2.91,31,25
Scott County Nursing Center,WINCHESTER,IL,Government,Small,49,4,4,Adequate,3.56,0.6,3,32.6,0
"GLENDORA GRAND, INC",GLENDORA,CA,For-Profit,Large,342,1,4,Adequate,3.95,0.26,3.6,27.8,30
MADISON HEALTH CARE,MADISON,OH,For-Profit,Medium,125,2,2,Understaffed,3.05,0.31,2.77,35.6,50
Pioneer Memorial Nursing Home,VIBORG,SD,Non-Profit,Small,46,3,4,Adequate,3.74,0.62,3.26,52.8,28.6
WINDEMERE AT WESTOVER HILLS,SAN ANTONIO,TX,For-Profit,Medium,112,3,2,Understaffed,3.43,0.6,2.99,55.4,45.5
VAIDEN COMMUNITY LIVING CENTER,VAIDEN,MS,For-Profit,Medium,60,3,4,Understaffed,3.48,0.75,2.92,36.2,36.4
MORADA TEMPLE,TEMPLE,TX,For-Profit,Medium,60,3,3,Adequate,4.62,0.56,4.12,54.9,71.4
Buchanan County Health Center,Independence,IA,Government,Small,39,4,5,Adequate,4.49,1.17,3.65,22.2,11.1
PLEASANT VALLEY HEALTHCARE AND REHABILITATION CENT,GARLAND,TX,For-Profit,Medium,124,3,2,Understaffed,3.11,0.44,2.73,46.9,54.5
Michigan Veterans Home of Chesterfield Township,Chesterfield Township,MI,Government,Medium,128,5,5,Adequate,7.97,0.96,7.2,50.2,23.1
THE SPRINGS OF CHENAL,LITTLE ROCK,AR,For-Profit,Medium,70,5,2,Adequate,4.14,0.4,3.42,78.3,71.4
MILL RUN CARE CENTER,HILLIARD,OH,For-Profit,Medium,66,2,2,Adequate,4.34,0.67,3.83,69.2,73.3
BIRCHWOOD HEALTH CARE CENTER,FOREST LAKE,MN,Non-Profit,Medium,100,2,4,Adequate,3.91,0.8,3.51,34.3,40
SAVANNAH POST ACUTE LLC,SAVANNAH,GA,For-Profit,Medium,120,1,1,Understaffed,3.41,0.31,2.93,66.7,63.6
Riverview Health Care Center,Prestonsburg,KY,For-Profit,Medium,121,5,3,Understaffed,3.37,1.02,2.87,23.2,23.8
EAST PARK CARE CENTER,BROOK PARK,OH,For-Profit,Medium,57,1,1,Understaffed,3.11,0.45,2.68,73.7,81.8
CITADEL AT SAINT BENEDICT,NILES,IL,For-Profit,Medium,99,4,2,Adequate,3.77,1.08,3.28,51.6,53.8
Magnolia Crossing Nursing and Rehabilitation Cente,Houston,TX,Government,Medium,128,3,1,Understaffed,3.21,0.24,2.86,56.6,100
Glasgow State Nursing Facility,Glasgow,KY,Government,Medium,100,3,5,Adequate,6.49,1.09,6.07,39,38.9
Sarah Neuman Center for Rehabilitation and Nursing,MAMARONECK,NY,Non-Profit,Large,300,2,3,Understaffed,3.16,0.71,2.69,18.2,15.9
SETTLERS RIDGE CARE CENTER,CELINA,TX,Non-Profit,Medium,128,4,2,Understaffed,3.17,0.23,2.82,44.4,33.3
HERITAGE MANOR,OKLAHOMA CITY,OK,For-Profit,Medium,55,1,2,Understaffed,3.32,0.21,3.52,61.4,80
LAKE COUNTRY HEALTH SERVICES,OCONOMOWOC,WI,For-Profit,Medium,100,2,2,Adequate,3.59,0.96,3.22,57.4,60
Cottage Grove Place,Cedar Rapids,IA,Non-Profit,Medium,64,3,4,Adequate,4.48,0.63,4.04,37.5,50
WATERFORD NURSING AND REHABILITATION CENTER,HIALEAH GARDENS,FL,For-Profit,Large,214,4,4,Adequate,3.56,1.1,3.32,22.8,21.8
SHAKER GARDENS NURSING AND REHABILITATION CENTER,SHAKER HEIGHTS,OH,For-Profit,Medium,50,5,2,Understaffed,3.21,0.85,2.85,50,38.5
HIGHLAND HOME,RIDGELAND,MS,For-Profit,Medium,120,2,3,Adequate,3.79,0.3,3.34,56,11.1
DEER MEADOWS REHABILITATION CENTER,PHILADELPHIA,PA,For-Profit,Large,206,2,3,Adequate,3.51,0.43,3.17,39.8,30.4
KIMES NURSING & REHAB CTR,ATHENS,OH,For-Profit,Medium,61,2,1,Understaffed,2.98,0.58,2.45,100,100
ASBURY PLACE KINGSPORT,KINGSPORT,TN,Non-Profit,Medium,67,3,2,Adequate,3.55,0.84,3.21,54.3,37.5
Senior Citizens Home,Henderson,NC,For-Profit,Medium,60,2,3,Adequate,4.06,0.35,3.46,61.4,88.9
GOOD SAMARITAN SOCIETY AUGUSTA PLACE A PROSPERA CO,BISMARCK,ND,Non-Profit,Small,48,3,4,Adequate,4.33,1.03,3.83,45.2,35.7
GUARDIAN CARE AND REHABILITATION CENTER,MANTECA,CA,For-Profit,Large,176,2,4,Adequate,4.39,0.67,3.92,30.4,41.2
HAVEN OF FLAGSTAFF,FLAGSTAFF,AZ,For-Profit,Medium,83,3,3,Adequate,3.49,0.81,3.23,46.2,47.1
THE SPRINGS BATESVILLE,BATESVILLE,AR,For-Profit,Large,150,3,3,Adequate,4.19,0.28,3.6,62.3,55.6
GLENVIEW TERRACE,GLENVIEW,IL,For-Profit,Large,314,4,3,Adequate,3.77,1.13,3.51,40.9,36.1
SNU ARMSTRONG CO MEMORIAL HOSP,KITTANNING,PA,Non-Profit,Small,17,3,5,Adequate,7.62,2.61,6.93,32,33.3
HERITAGE CARE CENTER,PITTSBURGH,PA,For-Profit,Medium,143,1,2,Understaffed,3.17,0.66,2.89,68.8,66.7
Redstone Highlands Health Care,GREENSBURG,PA,Non-Profit,Medium,77,2,5,Adequate,4.75,1.72,3.82,44.9,42.9
THE HEALTHCARE RESORT OF OLATHE,OLATHE,KS,For-Profit,Medium,70,2,2,Adequate,3.9,0.68,3.34,72.3,58.3
LAURELWOOD COMMUNITY LIVING CENTER,LAUREL,MS,For-Profit,Medium,60,1,2,Adequate,3.51,0.4,3.16,63.6,87.5
Valley Vista Care Center of Sandpoint,SANDPOINT,ID,Non-Profit,Medium,73,1,4,Adequate,4.24,0.64,3.74,62.8,25
BRIDGEPORT HEALTH CARE CENTER,PORTSMOUTH,OH,For-Profit,Medium,99,4,1,Understaffed,3.26,0.46,2.86,51.8,50
APERION CARE MONROE,BLOOMINGTON,IN,For-Profit,Small,38,1,1,Understaffed,2.99,0.51,2.57,48.5,66.7
Windsor Nursing and Rehabilitation Center of Mcall,Mcallen,TX,Non-Profit,Medium,110,2,1,Understaffed,3.14,0.3,2.76,53.2,50
Barbourville Health and Rehabilitation Center,Barbourville,KY,For-Profit,Medium,135,1,3,Adequate,3.76,0.95,3.36,55.5,50
"ROSEPINE RETIREMENT & REHAB CENTER, LLC",ROSEPINE,LA,For-Profit,Medium,108,3,2,Adequate,3.73,0.22,3.2,41.8,50
COFFMAN NURSING HOME,HAGERSTOWN,MD,Non-Profit,Medium,59,3,4,Adequate,4.22,0.68,3.76,40.4,41.7
Michigan Masonic Home,Alma,MI,Non-Profit,Large,204,5,5,Adequate,4.43,1.54,3.92,33.1,23.1
